subject,flat,edge_iaf,fallback,qc_ok
sub-NDARAA396TWZ,False,False,False,True
sub-NDARAA773LUW,False,False,False,True
sub-NDARAA947ZG5,False,False,True,False
sub-NDARAA948VFH,False,False,False,True
sub-NDARAB055BPR,False,True,True,False
sub-NDARAB348EWR,False,False,False,True
sub-NDARAB458VK9,False,False,False,True
sub-NDARAB514MAJ,False,False,True,False
sub-NDARAB674LNB,False,False,True,False
sub-NDARAB708LM5,True,False,True,False
sub-NDARAB756JDJ,False,False,False,True
sub-NDARAB793GL3,False,False,False,True
sub-NDARAB977GFB,False,True,False,False
sub-NDARAC349YUC,True,False,True,False
sub-NDARAC350BZ0,False,False,False,True
sub-NDARAC462DZH,False,False,False,True
sub-NDARAC589YMB,False,True,False,False
sub-NDARAC688ZM5,False,False,False,True
sub-NDARAC853CR6,False,False,False,True
sub-NDARAC853DTE,False,False,False,True
sub-NDARAC904DMU,False,False,False,True
sub-NDARAC923GPW,False,False,False,True
sub-NDARAD224CRB,False,False,False,True
sub-NDARAD232HVV,False,False,False,True
sub-NDARAD269FZD,False,False,False,True
sub-NDARAD571FLB,False,False,False,True
sub-NDARAD615WLJ,False,False,False,True
sub-NDARAD774HAZ,False,False,False,True
sub-NDARAE301XTM,False,False,False,True
sub-NDARAE540FCG,False,False,False,True
sub-NDARAE710YWG,False,False,False,True
sub-NDARAE828CML,False,False,False,True
sub-NDARAE866UVF,False,False,False,True
sub-NDARAE877NER,False,False,False,True
sub-NDARAF003VCL,False,False,False,True
sub-NDARAF440XWG,False,False,False,True
sub-NDARAF535XK6,False,False,False,True
sub-NDARAG143ARJ,False,False,False,True
sub-NDARAG191AE8,False,False,False,True
sub-NDARAG340ERT,False,False,False,True
sub-NDARAG584XLU,False,False,False,True
sub-NDARAG610XL4,False,False,False,True
sub-NDARAG644KE3,False,False,True,False
sub-NDARAH129BMC,False,False,False,True
sub-NDARAH239PGG,False,False,False,True
sub-NDARAH503YG1,False,False,False,True
sub-NDARAH948UF0,False,False,False,True
sub-NDARAH976BND,False,False,False,True
sub-NDARAJ977PRJ,True,True,True,False
sub-NDARAL606CW5,False,False,False,True
sub-NDARAL828WXM,False,False,False,True
sub-NDARAL897CYV,False,False,False,True
